id,class,x,y,vx,vy,timestamp_ms
FL-01,Forklift,0.5,0.0,4.0,0.0,500
W-03,Person,18.0,0.0,0.0,0.0,500
FL-01,Forklift,2.5,0.0,4.0,0.0,1000
W-03,Person,18.0,0.0,0.0,0.0,1000
FL-01,Forklift,4.5,0.0,4.0,0.0,1500
W-03,Person,18.0,0.0,0.0,0.0,1500
FL-01,Forklift,6.5,0.0,4.0,0.0,2000
W-03,Person,18.0,0.0,0.0,0.0,2000
FL-01,Forklift,8.5,0.0,4.0,0.0,2500
W-03,Person,18.0,0.0,0.0,0.0,2500
FL-01,Forklift,10.5,0.0,4.0,0.0,3000
W-03,Person,18.0,0.0,0.0,0.0,3000
FL-01,Forklift,12.5,0.0,4.0,0.0,3500
W-03,Person,18.0,0.0,0.0,0.0,3500
